NO,名称,名称_カナ,緯度,経度,都道府県名,市区町村名,洪水,土砂災害,地震
54,中野方小学校・グラウンド,ナカノホウショウガッコウグラウンド,35.523281,137.309276,岐阜県,恵那市,1,1,1
55,中野方小学校・体育館,ナカノホウショウガッコウタイイクカン,35.523355,137.308654,岐阜県,恵那市,1,1,1
56,中野方グラウンド・グラウンド,ナカノホウグラウンドグラウンド,35.520704,137.311384,岐阜県,恵那市,1,1,1
57,飯地コミュニティセンター・ホール,イイジコミュニティセンターホール,35.483786,137.292517,岐阜県,恵那市,1,1,1
58,飯地小学校・グラウンド,イイジショウガッコウグラウンド,35.485756,137.292013,岐阜県,恵那市,1,1,1
59,飯地小学校・体育館,イイジショウガッコウタイイクカン,35.48645,137.291493,岐阜県,恵那市,1,1,1
60,岩村コミュニティセンター・駐車場,イワムラコミュニティセンターチュウシャジョウ,35.365738,137.43495,岐阜県,恵那市,1,1,1
61,岩村コミュニティセンター・ホール,イワムラコミュニティセンターホール,35.366115,137.434945,岐阜県,恵那市,1,1,1
62,恵那特別支援学校・グラウンド,エナトクベツシエンガッコウグラウンド,35.365544,137.445249,岐阜県,恵那市,1,1,1
63,恵那特別支援学校・体育館,エナトクベツシエンガッコウタイイクカン,35.365838,137.446032,岐阜県,恵那市,1,0,1
64,岩邑小学校・グラウンド,イワムラショウガッコウグラウンド,35.368985,137.439947,岐阜県,恵那市,1,1,1
65,岩邑小学校・体育館,イワムラショウガッコウタイイクカン,35.369575,137.439051,岐阜県,恵那市,1,1,1
66,岩邑中学校・グラウンド,イワムラチュウガッコウグラウンド,35.375452,137.439454,岐阜県,恵那市,1,1,1
67,岩邑中学校・体育館,イワムラチュウガッコウタイイクカン,35.375435,137.43888,岐阜県,恵那市,1,1,1
68,飯峡会館・広場,イイキョウカイカンヒロバ,35.385107,137.431968,岐阜県,恵那市,1,0,1
69,飯峡会館・ホール,イイキョウカイカンホール,35.385234,137.431783,岐阜県,恵那市,1,1,1
70,ふるさと富田会館・広場,フルサトトミダカイカンヒロバ,35.376795,137.451003,岐阜県,恵那市,1,1,1
71,ふるさと富田会館・ホール,フルサトトミダカイカンホール,35.376949,137.450845,岐阜県,恵那市,1,1,1
72,旧岩村振興事務所駐車場・駐車場,キュウイワムラシンコウジムショチュウシャジョウチュウシャジョウ,35.364263,137.440415,岐阜県,恵那市,1,1,1
73,山岡中学校・グラウンド,ヤマオカチュウガッコウグラウンド,35.354937,137.375103,岐阜県,恵那市,0,1,1
74,山岡中学校・体育館,ヤマオカチュウガッコウタイイクカン,35.35572,137.374904,岐阜県,恵那市,0,1,1
